dataset,organisation,organisation_name,quality,total_entity_count
local-plan,local-authority:CHE,Cheshire East Council,authoritative,5
local-plan,local-authority:CHI,Chichester District Council,authoritative,5
local-plan,local-authority:CHW,Cheshire West and Chester Council,authoritative,5
local-plan,local-authority:DUR,Durham County Council,authoritative,4
local-plan,local-authority:EAT,Eastleigh Borough Council,authoritative,3
local-plan,local-authority:EHE,East Hertfordshire District Council,authoritative,5
local-plan,local-authority:ESK,East Suffolk Council,authoritative,7
local-plan,local-authority:GRT,Guildford Borough Council,authoritative,4
local-plan,local-authority:HAT,Hart District Council,authoritative,5
local-plan,local-authority:HNS,London Borough of Hounslow,authoritative,4
local-plan,local-authority:HOR,Horsham District Council,authoritative,5
local-plan,local-authority:IOS,Council of the Isles of Scilly,authoritative,3
local-plan,local-authority:IOW,Isle of Wight Council,authoritative,5
local-plan,local-authority:IPS,Ipswich Borough Council,authoritative,4
local-plan,local-authority:LAC,Lancaster City Council,authoritative,3
local-plan,local-authority:LUT,Luton Borough Council,authoritative,3
local-plan,local-authority:MDE,Mid Devon District Council,authoritative,4
local-plan,local-authority:PLY,Plymouth City Council,authoritative,3
local-plan,local-authority:ROS,Rossendale Borough Council,authoritative,3
local-plan,local-authority:RUH,Rushmoor Borough Council,authoritative,4
local-plan,local-authority:SAL,St Albans City and District Council,authoritative,3
local-plan,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,5
local-plan,local-authority:SHE,Folkestone and Hythe Council,authoritative,5
local-plan,local-authority:SHR,Shropshire Council,authoritative,4
local-plan,local-authority:SOX,South Oxfordshire District Council,authoritative,3
local-plan,local-authority:SST,South Staffordshire Council,authoritative,5
local-plan,local-authority:SUA,Somerset Council,authoritative,16
local-plan,local-authority:VAL,Vale of White Horse District Council,authoritative,3
local-plan,local-authority:WBK,West Berkshire Council,authoritative,4
local-plan,local-authority:WOI,Woking Borough Council,authoritative,4
local-plan-boundary,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,364
local-plan-housing,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,315
local-planning-authority,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,33
local-planning-authority,government-organisation:D303,Office for National Statistics,some,304
local-resilience-forum,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,38
local-resilience-forum-boundary,government-organisation:D303,Office for National Statistics,some,38
locally-listed-building,local-authority:CAT,Canterbury City Council,authoritative,448
minerals-plan,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,65
minerals-plan,local-authority:DUR,Durham County Council,authoritative,2
minerals-plan,local-authority:IOS,Council of the Isles of Scilly,authoritative,1
minerals-plan,local-authority:SHR,Shropshire Council,authoritative,3
minerals-plan-boundary,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,44
national-nature-reserve,government-organisation:PB202,Natural England,authoritative,224
national-park,government-organisation:D303,Office for National Statistics,some,10
nature-improvement-area,government-organisation:PB202,Natural England,authoritative,12
nutrient-neutrality-catchment,government-organisation:PB202,Natural England,authoritative,39
ownership-status,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,4
parish,government-organisation:D303,Office for National Statistics,authoritative,10907
park-and-garden,government-organisation:PB1164,Historic England,authoritative,1723
park-and-garden-grade,government-organisation:PB1164,Historic England,authoritative,3
permitted-development-right,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,236
permitted-development-right-part,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,21
plan-event,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,47
plan-timetable,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,120
plan-timetable,local-authority:BRT,Broxtowe Borough Council,authoritative,16
plan-timetable,local-authority:CBF,Central Bedfordshire Council,authoritative,36
plan-timetable,local-authority:CHE,Cheshire East Council,authoritative,17
plan-timetable,local-authority:CHI,Chichester District Council,authoritative,32
plan-timetable,local-authority:CHW,Cheshire West and Chester Council,authoritative,17
plan-timetable,local-authority:CON,Cornwall Council,authoritative,51
plan-timetable,local-authority:DUR,Durham County Council,authoritative,25
plan-timetable,local-authority:EAT,Eastleigh Borough Council,authoritative,20
plan-timetable,local-authority:EHE,East Hertfordshire District Council,authoritative,31
plan-timetable,local-authority:ESK,East Suffolk Council,authoritative,16
plan-timetable,local-authority:GRT,Guildford Borough Council,authoritative,19
plan-timetable,local-authority:HAT,Hart District Council,authoritative,24
plan-timetable,local-authority:HIL,London Borough of Hillingdon,authoritative,16
plan-timetable,local-authority:HOR,Horsham District Council,authoritative,22
plan-timetable,local-authority:IOS,Council of the Isles of Scilly,authoritative,21
plan-timetable,local-authority:IPS,Ipswich Borough Council,authoritative,19
plan-timetable,local-authority:LAC,Lancaster City Council,authoritative,19
plan-timetable,local-authority:LUT,Luton Borough Council,authoritative,29
plan-timetable,local-authority:MDE,Mid Devon District Council,authoritative,16
plan-timetable,local-authority:NUN,Nuneaton and Bedworth Borough Council,authoritative,18
plan-timetable,local-authority:RIB,Ribble Valley Borough Council,authoritative,30
plan-timetable,local-authority:ROS,Rossendale Borough Council,authoritative,33
plan-timetable,local-authority:RUH,Rushmoor Borough Council,authoritative,19
plan-timetable,local-authority:SAL,St Albans City and District Council,authoritative,14
plan-timetable,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,17
plan-timetable,local-authority:SHE,Folkestone and Hythe Council,authoritative,22
plan-timetable,local-authority:SHR,Shropshire Council,authoritative,20
plan-timetable,local-authority:SST,South Staffordshire Council,authoritative,43
plan-timetable,local-authority:STH,Southampton City Council,authoritative,19
plan-timetable,local-authority:STY,South Tyneside Council,authoritative,20
plan-timetable,local-authority:SUA,Somerset Council,authoritative,35
plan-timetable,local-authority:SUR,Surrey Heath Borough Council,authoritative,18
plan-timetable,local-authority:TUN,Tunbridge Wells Borough Council,authoritative,7
plan-timetable,local-authority:WAE,Waverley Borough Council,authoritative,31
plan-timetable,local-authority:WBK,West Berkshire Council,authoritative,28
plan-timetable,local-authority:WOI,Woking Borough Council,authoritative,20
plan-timetable,local-authority:WRT,Warrington Borough Council,authoritative,27
plan-timetable,national-park-authority:Q72617669,North York Moors National Park Authority,authoritative,19
planning-application-condition,local-authority:DNC,Doncaster Metropolitan Borough Council,authoritative,5305
planning-condition,local-authority:DNC,Doncaster Metropolitan Borough Council,authoritative,5605
planning-permission-status,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,3
protected-wreck-site,government-organisation:PB1164,Historic England,authoritative,58
ramsar,government-organisation:PB202,Natural England,authoritative,73
region,government-organisation:D303,Office for National Statistics,authoritative,9
scheduled-monument,government-organisation:PB1164,Historic England,authoritative,20149
site-category,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,2
site-of-special-scientific-interest,government-organisation:PB202,Natural England,authoritative,4128
special-area-of-conservation,government-organisation:PB202,Natural England,authoritative,260
special-protection-area,government-organisation:PB202,Natural England,authoritative,88
supplementary-plan,local-authority:IOS,Council of the Isles of Scilly,authoritative,4
tree,local-authority:ADU,Adur District Council,authoritative,1121
tree,local-authority:ASF,Ashford Borough Council,authoritative,1224
tree,local-authority:BAI,Basildon Borough Council,authoritative,549
tree,local-authority:BEN,London Borough of Brent,authoritative,1231
tree,local-authority:BNE,London Borough of Barnet,authoritative,6198
tree,local-authority:BST,Bristol City Council,authoritative,4970
tree,local-authority:BUC,Buckinghamshire Council,authoritative,7591
tree,local-authority:CAS,Castle Point Borough Council,authoritative,1714
tree,local-authority:CLD,Calderdale Metropolitan Borough Council,authoritative,7197
tree,local-authority:COL,Colchester City Council,authoritative,2543
tree,local-authority:COT,Cotswold District Council,authoritative,2862
tree,local-authority:COV,Coventry City Council,authoritative,2232
tree,local-authority:DAR,Dartford Borough Council,authoritative,1223
tree,local-authority:DNC,Doncaster Metropolitan Borough Council,authoritative,2857
tree,local-authority:DOV,Dover District Council,authoritative,1365
tree,local-authority:ECA,East Cambridgeshire District Council,authoritative,2562
tree,local-authority:EHA,East Hampshire District Council,authoritative,2672
tree,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,4345
tree,local-authority:ERY,East Riding of Yorkshire Council,authoritative,6953
tree,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,2154
tree,local-authority:GLO,Gloucester City Council,authoritative,1358
tree,local-authority:HAA,Havant Borough Council,authoritative,3119
tree,local-authority:HAL,Halton Borough Council,authoritative,449
tree,local-authority:HAR,Harlow District Council,authoritative,1467
tree,local-authority:HOR,Horsham District Council,authoritative,7996
tree,local-authority:HUN,Huntingdonshire District Council,authoritative,3796
tree,local-authority:KEC,Royal Borough of Kensington and Chelsea,authoritative,4560
tree,local-authority:KIN,Borough Council of King's Lynn and West Norfolk,authoritative,2476
tree,local-authority:LBH,London Borough of Lambeth,authoritative,2551
tree,local-authority:LCE,Leicester City Council,authoritative,5005
tree,local-authority:LDS,Leeds City Council,authoritative,6615
tree,local-authority:LIV,Liverpool City Council,authoritative,1571
tree,local-authority:MAI,Maidstone Borough Council,authoritative,10126
tree,local-authority:MIK,Milton Keynes City Council,authoritative,2044
tree,local-authority:NBL,Northumberland County Council,authoritative,3614
tree,local-authority:NET,Newcastle City Council,authoritative,7336
tree,local-authority:NEW,New Forest District Council,authoritative,6702
tree,local-authority:NLN,North Lincolnshire Council,authoritative,6989
tree,local-authority:NNO,North Norfolk District Council,authoritative,1535
tree,local-authority:NSM,North Somerset Council,authoritative,4133
tree,local-authority:OXO,Oxford City Council,authoritative,1350
tree,local-authority:PLY,Plymouth City Council,authoritative,1252
tree,local-authority:PTE,Peterborough City Council,authoritative,2379
tree,local-authority:ROH,Rother District Council,authoritative,1922
tree,local-authority:ROS,Rossendale Borough Council,authoritative,1729
tree,local-authority:SAL,St Albans City and District Council,authoritative,3478
tree,local-authority:SAW,Sandwell Metropolitan Borough Council,authoritative,659
tree,local-authority:SCA,South Cambridgeshire District Council,authoritative,2493
tree,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,4794
tree,local-authority:SGC,South Gloucestershire Council,authoritative,6086
tree,local-authority:SKP,Stockport Metropolitan Borough Council,authoritative,8192
tree,local-authority:SLF,Salford City Council,authoritative,1296
tree,local-authority:SPE,Spelthorne Borough Council,authoritative,300
tree,local-authority:SST,South Staffordshire Council,authoritative,10628
tree,local-authority:STE,Stoke-on-Trent City Council,authoritative,1502
tree,local-authority:SWK,London Borough of Southwark,authoritative,3035
tree,local-authority:SWL,Swale Borough Council,authoritative,1596
tree,local-authority:TAN,Tandridge District Council,authoritative,1678
tree,local-authority:TEW,Tewkesbury Borough Council,authoritative,2032
tree,local-authority:THA,Thanet District Council,authoritative,1895
tree,local-authority:TOB,Torbay Council,authoritative,2080
tree,local-authority:TWH,London Borough of Tower Hamlets,authoritative,1778
tree,local-authority:UTT,Uttlesford District Council,authoritative,5271
tree,local-authority:WBK,West Berkshire Council,authoritative,6572
tree,local-authority:WFT,London Borough of Waltham Forest,authoritative,2043
tree,local-authority:WOT,Worthing Borough Council,authoritative,4082
tree,local-authority:WRL,Wirral Borough Council,authoritative,4439
tree,local-authority:WSM,City of Westminster,authoritative,4286
tree,national-park-authority:Q27159704,Lake District National Park Authority,authoritative,2093
tree,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,2574
tree-preservation-order,local-authority:ADU,Adur District Council,authoritative,189
tree-preservation-order,local-authority:ASF,Ashford Borough Council,authoritative,1224
tree-preservation-order,local-authority:BEN,London Borough of Brent,authoritative,1229
tree-preservation-order,local-authority:BNE,London Borough of Barnet,authoritative,716
tree-preservation-order,local-authority:BRO,Broadland District Council,authoritative,4930
tree-preservation-order,local-authority:BST,Bristol City Council,authoritative,4970
tree-preservation-order,local-authority:CAB,Cambridge City Council,authoritative,988
tree-preservation-order,local-authority:CAS,Castle Point Borough Council,authoritative,420
tree-preservation-order,local-authority:CAT,Canterbury City Council,authoritative,304
tree-preservation-order,local-authority:CBF,Central Bedfordshire Council,authoritative,757
tree-preservation-order,local-authority:CLD,Calderdale Metropolitan Borough Council,authoritative,550
tree-preservation-order,local-authority:COT,Cotswold District Council,authoritative,571
tree-preservation-order,local-authority:COV,Coventry City Council,authoritative,433
tree-preservation-order,local-authority:DAR,Dartford Borough Council,authoritative,343
tree-preservation-order,local-authority:DOV,Dover District Council,authoritative,434
tree-preservation-order,local-authority:ECA,East Cambridgeshire District Council,authoritative,542
tree-preservation-order,local-authority:EHA,East Hampshire District Council,authoritative,4002
tree-preservation-order,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,415
tree-preservation-order,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,209
tree-preservation-order,local-authority:GRY,Great Yarmouth Borough Council,authoritative,1096
tree-preservation-order,local-authority:HAA,Havant Borough Council,authoritative,3719
tree-preservation-order,local-authority:HAL,Halton Borough Council,authoritative,114
tree-preservation-order,local-authority:HAR,Harlow District Council,authoritative,218
tree-preservation-order,local-authority:HIL,London Borough of Hillingdon,authoritative,731
tree-preservation-order,local-authority:HOR,Horsham District Council,authoritative,1306
tree-preservation-order,local-authority:HUN,Huntingdonshire District Council,authoritative,959
tree-preservation-order,local-authority:IOS,Council of the Isles of Scilly,authoritative,1
tree-preservation-order,local-authority:KEC,Royal Borough of Kensington and Chelsea,authoritative,4560
tree-preservation-order,local-authority:LBH,London Borough of Lambeth,authoritative,339
tree-preservation-order,local-authority:LCE,Leicester City Council,authoritative,510
tree-preservation-order,local-authority:LDS,Leeds City Council,authoritative,2448
tree-preservation-order,local-authority:LIV,Liverpool City Council,authoritative,1571
tree-preservation-order,local-authority:MAI,Maidstone Borough Council,authoritative,13915
tree-preservation-order,local-authority:MDW,Medway Council,authoritative,553
tree-preservation-order,local-authority:MIK,Milton Keynes City Council,authoritative,77
tree-preservation-order,local-authority:NBL,Northumberland County Council,authoritative,458
tree-preservation-order,local-authority:NET,Newcastle City Council,authoritative,188
tree-preservation-order,local-authority:NEW,New Forest District Council,authoritative,1933
tree-preservation-order,local-authority:NLN,North Lincolnshire Council,authoritative,7365
tree-preservation-order,local-authority:NNO,North Norfolk District Council,authoritative,603
tree-preservation-order,local-authority:NSM,North Somerset Council,authoritative,5720
tree-preservation-order,local-authority:OXO,Oxford City Council,authoritative,1515
tree-preservation-order,local-authority:PLY,Plymouth City Council,authoritative,332
tree-preservation-order,local-authority:PTE,Peterborough City Council,authoritative,452
tree-preservation-order,local-authority:ROH,Rother District Council,authoritative,427
tree-preservation-order,local-authority:ROS,Rossendale Borough Council,authoritative,182
tree-preservation-order,local-authority:SAL,St Albans City and District Council,authoritative,670
tree-preservation-order,local-authority:SAW,Sandwell Metropolitan Borough Council,authoritative,108
tree-preservation-order,local-authority:SCA,South Cambridgeshire District Council,authoritative,704
tree-preservation-order,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,275
tree-preservation-order,local-authority:SGC,South Gloucestershire Council,authoritative,1009
tree-preservation-order,local-authority:SKP,Stockport Metropolitan Borough Council,authoritative,874
tree-preservation-order,local-authority:SLF,Salford City Council,authoritative,523
tree-preservation-order,local-authority:SNO,South Norfolk District Council,authoritative,2283
tree-preservation-order,local-authority:SPE,Spelthorne Borough Council,authoritative,283
tree-preservation-order,local-authority:SST,South Staffordshire Council,authoritative,331
tree-preservation-order,local-authority:STE,Stoke-on-Trent City Council,authoritative,136
tree-preservation-order,local-authority:SWL,Swale Borough Council,authoritative,1986
tree-preservation-order,local-authority:TAN,Tandridge District Council,authoritative,792
tree-preservation-order,local-authority:THA,Thanet District Council,authoritative,774
tree-preservation-order,local-authority:TOB,Torbay Council,authoritative,718
tree-preservation-order,local-authority:TWH,London Borough of Tower Hamlets,authoritative,72
tree-preservation-order,local-authority:WFT,London Borough of Waltham Forest,authoritative,230
tree-preservation-order,local-authority:WOT,Worthing Borough Council,authoritative,1034
tree-preservation-order,local-authority:WRL,Wirral Borough Council,authoritative,727
tree-preservation-order,local-authority:WSM,City of Westminster,authoritative,685
tree-preservation-order,national-park-authority:Q27159704,Lake District National Park Authority,authoritative,407
tree-preservation-order,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,742
tree-preservation-zone,local-authority:ADU,Adur District Council,authoritative,94
tree-preservation-zone,local-authority:ASF,Ashford Borough Council,authoritative,319
tree-preservation-zone,local-authority:BEN,London Borough of Brent,authoritative,301
tree-preservation-zone,local-authority:BIR,Birmingham City Council,authoritative,1435
tree-preservation-zone,local-authority:BNE,London Borough of Barnet,authoritative,3218
tree-preservation-zone,local-authority:BRO,Broadland District Council,authoritative,4930
tree-preservation-zone,local-authority:BST,Bristol City Council,authoritative,369
tree-preservation-zone,local-authority:BUC,Buckinghamshire Council,authoritative,8418
tree-preservation-zone,local-authority:CAS,Castle Point Borough Council,authoritative,194
tree-preservation-zone,local-authority:CAT,Canterbury City Council,authoritative,1573
tree-preservation-zone,local-authority:CLD,Calderdale Metropolitan Borough Council,authoritative,1641
tree-preservation-zone,local-authority:COT,Cotswold District Council,authoritative,650
tree-preservation-zone,local-authority:COV,Coventry City Council,authoritative,508
tree-preservation-zone,local-authority:DAR,Dartford Borough Council,authoritative,267
tree-preservation-zone,local-authority:DNC,Doncaster Metropolitan Borough Council,authoritative,1330
tree-preservation-zone,local-authority:DOV,Dover District Council,authoritative,556
tree-preservation-zone,local-authority:ECA,East Cambridgeshire District Council,authoritative,565
tree-preservation-zone,local-authority:EHA,East Hampshire District Council,authoritative,1325
tree-preservation-zone,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,942
tree-preservation-zone,local-authority:ERY,East Riding of Yorkshire Council,authoritative,1328
tree-preservation-zone,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,682
tree-preservation-zone,local-authority:GLO,Gloucester City Council,authoritative,165
tree-preservation-zone,local-authority:GRY,Great Yarmouth Borough Council,authoritative,319
tree-preservation-zone,local-authority:HAA,Havant Borough Council,authoritative,600
tree-preservation-zone,local-authority:HAL,Halton Borough Council,authoritative,268
tree-preservation-zone,local-authority:HAR,Harlow District Council,authoritative,127
tree-preservation-zone,local-authority:HOR,Horsham District Council,authoritative,661
tree-preservation-zone,local-authority:HUN,Huntingdonshire District Council,authoritative,821
tree-preservation-zone,local-authority:KEC,Royal Borough of Kensington and Chelsea,authoritative,41
tree-preservation-zone,local-authority:KIN,Borough Council of King's Lynn and West Norfolk,authoritative,626
tree-preservation-zone,local-authority:LBH,London Borough of Lambeth,authoritative,226
tree-preservation-zone,local-authority:LCE,Leicester City Council,authoritative,146
tree-preservation-zone,local-authority:LDS,Leeds City Council,authoritative,3710
tree-preservation-zone,local-authority:LIV,Liverpool City Council,authoritative,713
tree-preservation-zone,local-authority:MAI,Maidstone Borough Council,authoritative,3789
tree-preservation-zone,local-authority:MDW,Medway Council,authoritative,554
tree-preservation-zone,local-authority:MIK,Milton Keynes City Council,authoritative,322
tree-preservation-zone,local-authority:NBL,Northumberland County Council,authoritative,632
tree-preservation-zone,local-authority:NET,Newcastle City Council,authoritative,757
tree-preservation-zone,local-authority:NEW,New Forest District Council,authoritative,1610
tree-preservation-zone,local-authority:NLN,North Lincolnshire Council,authoritative,381
tree-preservation-zone,local-authority:NNO,North Norfolk District Council,authoritative,550
tree-preservation-zone,local-authority:NSM,North Somerset Council,authoritative,1484
tree-preservation-zone,local-authority:OXO,Oxford City Council,authoritative,283
tree-preservation-zone,local-authority:PLY,Plymouth City Council,authoritative,487
tree-preservation-zone,local-authority:PTE,Peterborough City Council,authoritative,417
tree-preservation-zone,local-authority:ROH,Rother District Council,authoritative,413
tree-preservation-zone,local-authority:ROS,Rossendale Borough Council,authoritative,497
tree-preservation-zone,local-authority:SAL,St Albans City and District Council,authoritative,544
tree-preservation-zone,local-authority:SAW,Sandwell Metropolitan Borough Council,authoritative,52
tree-preservation-zone,local-authority:SCA,South Cambridgeshire District Council,authoritative,2316
tree-preservation-zone,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,478
tree-preservation-zone,local-authority:SGC,South Gloucestershire Council,authoritative,1085
tree-preservation-zone,local-authority:SKP,Stockport Metropolitan Borough Council,authoritative,1360
tree-preservation-zone,local-authority:SLF,Salford City Council,authoritative,1671
tree-preservation-zone,local-authority:SNO,South Norfolk District Council,authoritative,2283
tree-preservation-zone,local-authority:SPE,Spelthorne Borough Council,authoritative,2656
tree-preservation-zone,local-authority:SST,South Staffordshire Council,authoritative,2623
tree-preservation-zone,local-authority:STE,Stoke-on-Trent City Council,authoritative,103
tree-preservation-zone,local-authority:SWK,London Borough of Southwark,authoritative,724
tree-preservation-zone,local-authority:SWL,Swale Borough Council,authoritative,390
tree-preservation-zone,local-authority:TAN,Tandridge District Council,authoritative,885
tree-preservation-zone,local-authority:TEW,Tewkesbury Borough Council,authoritative,556
tree-preservation-zone,local-authority:THA,Thanet District Council,authoritative,677
tree-preservation-zone,local-authority:TOB,Torbay Council,authoritative,836
tree-preservation-zone,local-authority:TWH,London Borough of Tower Hamlets,authoritative,1
tree-preservation-zone,local-authority:UTT,Uttlesford District Council,authoritative,5278
tree-preservation-zone,local-authority:WBK,West Berkshire Council,authoritative,1115
tree-preservation-zone,local-authority:WFT,London Borough of Waltham Forest,authoritative,218
tree-preservation-zone,local-authority:WOT,Worthing Borough Council,authoritative,1287
tree-preservation-zone,local-authority:WRL,Wirral Borough Council,authoritative,2499
tree-preservation-zone,local-authority:WSM,City of Westminster,authoritative,263
tree-preservation-zone,national-park-authority:Q27159704,Lake District National Park Authority,authoritative,900
tree-preservation-zone,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,976
tree-preservation-zone-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,3
ward,government-organisation:D303,Office for National Statistics,authoritative,6817
waste-plan,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,71
waste-plan,local-authority:DUR,Durham County Council,authoritative,2
waste-plan,local-authority:IOS,Council of the Isles of Scilly,authoritative,1
waste-plan,local-authority:SHR,Shropshire Council,authoritative,3
waste-plan-boundary,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,48
world-heritage-site,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,20
world-heritage-site,government-organisation:PB1164,Historic England,authoritative,20
world-heritage-site-buffer-zone,government-organisation:PB1164,Historic England,authoritative,9
